#Field 1: Hipparcos ID (-1 if none)
#Field 2: Tycho 2 ID (-1 if none)
#Field 3, 4, 5: x, y, z in 1/10 parsecs
#Nearest 1000 stars in TGAS+HYP(Hipparcos)
0 -1 0.000000 0.000000 0.000000
14445 -1 101.181604 107.045289 5.044169
14731 -1 121.161355 132.521094 18.576012
12929 -1 117.575351 104.289644 32.759717
16445 -1 117.128172 155.133202 49.615858
17405 -1 92.322258 136.560615 49.347670
17414 -1 92.364087 136.779329 49.423795
19076 -1 74.442726 136.170861 62.727547
17609 -1 71.027282 107.660105 63.506592
12097 -1 102.372396 82.820341 48.498744
8382 -1 154.704988 78.887710 67.377602
20917 -1 40.290735 96.083508 41.933272
21482 -1 55.232520 145.416662 79.708537
19337 -1 54.004732 102.249359 76.936998
23147 -1 28.106786 102.821861 126.355428
23518 -1 20.115274 79.838259 109.745639
28368 -1 0.113573 70.252174 115.055349
21553 -1 20.947584 55.797088 78.780933
27188 -1 3.883546 62.666300 119.254172
1368 -1 110.617165 8.277910 96.252487
1475 -1 25.529515 2.059487 24.754980
473 -1 78.953736 1.965764 81.247462
4012 -1 96.945217 22.179814 161.046783
21088 -1 10.728001 26.299304 47.212187
-1 4067-242-1 29.809414 48.253814 109.271406
17749 -1 35.521861 54.710867 167.084211
19422 -1 30.355943 58.057840 175.602445
9291 -1 59.178524 33.961207 111.431540
-1 4041-1365-1 45.097959 26.453332 106.112750
-1 4040-1662-1 66.153285 35.123020 156.566164
10531 -1 58.526564 39.377154 171.747442
4872 -1 44.018681 12.346995 87.247063
5247 -1 63.190051 19.076795 134.991075
2120 -1 54.449689 6.413625 151.801514
4856 -1 24.942104 6.990935 78.224659
1860 -1 42.005906 4.307086 185.701253
-1 4339-1011-1 24.344250 37.724455 151.979992
6379 -1 36.626750 13.691031 165.543939
1092 -1 31.301301 1.869365 190.787938
15638 -1 15.451610 18.645008 136.892074
42762 -1 -100.607191 116.890029 25.948153
42748 -1 -100.553260 116.959741 25.960859
42499 -1 -116.557734 139.099446 36.990081
45170 -1 -143.090061 128.518810 51.524827
44295 -1 -125.520417 124.116250 48.173331
47513 -1 -92.815021 64.291314 26.500749
46843 -1 -129.266773 96.768512 82.231051
40375 -1 -103.719461 155.827883 43.296146
42267 -1 -110.159382 134.671835 47.028749
43510 -1 -107.942559 116.044132 51.877045
